% Usage, time(24h)
 4.0,2022-06-07 11:32:17.359327
 4.0,2022-06-07 11:32:17.859005
 4.0,2022-06-07 11:32:18.359025
 4.0,2022-06-07 11:32:18.859281
 2.0,2022-06-07 11:32:19.359235
 4.0,2022-06-07 11:32:19.858944
 2.0,2022-06-07 11:32:20.358964
 6.0,2022-06-07 11:32:20.860672
 2.0,2022-06-07 11:32:21.358797
 6.0,2022-06-07 11:32:21.859516
 2.0,2022-06-07 11:32:22.359069
 4.0,2022-06-07 11:32:22.859186
 4.0,2022-06-07 11:32:23.359268
 4.0,2022-06-07 11:32:23.858916
 2.0,2022-06-07 11:32:24.359188
 4.0,2022-06-07 11:32:24.860365
 6.0,2022-06-07 11:32:25.359227
 4.0,2022-06-07 11:32:25.858947
 4.0,2022-06-07 11:32:26.358958
 4.0,2022-06-07 11:32:26.859080
 4.0,2022-06-07 11:32:27.358968
 4.0,2022-06-07 11:32:27.859085
 4.0,2022-06-07 11:32:28.360349
 4.0,2022-06-07 11:32:28.858961
 4.0,2022-06-07 11:32:29.359305
 6.0,2022-06-07 11:32:29.858888
 4.0,2022-06-07 11:32:30.358726
 6.0,2022-06-07 11:32:30.858834
 4.0,2022-06-07 11:32:31.358972
 4.0,2022-06-07 11:32:31.859195
 4.0,2022-06-07 11:32:32.359183
 8.0,2022-06-07 11:32:32.859037
 4.0,2022-06-07 11:32:33.359134
 4.0,2022-06-07 11:32:33.859153
 4.0,2022-06-07 11:32:34.359167
 6.0,2022-06-07 11:32:34.858825
 4.0,2022-06-07 11:32:35.359432
 6.0,2022-06-07 11:32:35.858972
 4.0,2022-06-07 11:32:36.359380
 4.0,2022-06-07 11:32:36.859016
 6.0,2022-06-07 11:32:37.358884
 6.0,2022-06-07 11:32:37.858711
 4.0,2022-06-07 11:32:38.359282
 6.0,2022-06-07 11:32:38.859103
 4.0,2022-06-07 11:32:39.360583
 4.0,2022-06-07 11:32:39.859025
 4.0,2022-06-07 11:32:40.359061
 6.0,2022-06-07 11:32:40.861209
 4.0,2022-06-07 11:32:41.359736
 6.0,2022-06-07 11:32:41.858930
 4.0,2022-06-07 11:32:42.358992
 6.0,2022-06-07 11:32:42.858860
 6.0,2022-06-07 11:32:43.359050
 4.0,2022-06-07 11:32:43.859036
 6.0,2022-06-07 11:32:44.359085
 2.0,2022-06-07 11:32:44.858733
 6.0,2022-06-07 11:32:45.359191
 6.0,2022-06-07 11:32:45.858822
 4.0,2022-06-07 11:32:46.359087
 4.0,2022-06-07 11:32:46.859029
 4.0,2022-06-07 11:32:47.359145
 4.0,2022-06-07 11:32:47.859174
 6.0,2022-06-07 11:32:48.359240
 6.0,2022-06-07 11:32:48.858908
 4.0,2022-06-07 11:32:49.359268
 6.0,2022-06-07 11:32:49.859870
 4.0,2022-06-07 11:32:50.359130
 6.0,2022-06-07 11:32:50.859471
 2.0,2022-06-07 11:32:51.360480
 4.0,2022-06-07 11:32:51.859178
 6.0,2022-06-07 11:32:52.358876
 4.0,2022-06-07 11:32:52.859001
 6.0,2022-06-07 11:32:53.359001
 4.0,2022-06-07 11:32:53.859238
 6.0,2022-06-07 11:32:54.358750
 4.0,2022-06-07 11:32:54.859299
 4.0,2022-06-07 11:32:55.359410
 4.0,2022-06-07 11:32:55.859512
 6.0,2022-06-07 11:32:56.359068
 6.0,2022-06-07 11:32:56.858886
 4.0,2022-06-07 11:32:57.360415
 6.0,2022-06-07 11:32:57.860321
 6.0,2022-06-07 11:32:58.359016
