% Usage, time(24h)
 4.0,2022-06-07 11:06:02.358195
 6.0,2022-06-07 11:06:02.858125
 6.0,2022-06-07 11:06:03.358269
 8.0,2022-06-07 11:06:03.858361
 8.0,2022-06-07 11:06:04.358565
 10.0,2022-06-07 11:06:04.858090
 8.0,2022-06-07 11:06:05.358511
 10.0,2022-06-07 11:06:05.858825
 8.0,2022-06-07 11:06:06.358550
 8.0,2022-06-07 11:06:06.858318
 6.0,2022-06-07 11:06:07.358785
 10.0,2022-06-07 11:06:07.858396
 6.0,2022-06-07 11:06:08.358528
 10.0,2022-06-07 11:06:08.858851
 8.0,2022-06-07 11:06:09.358511
 8.0,2022-06-07 11:06:09.858566
 10.0,2022-06-07 11:06:10.358506
 10.0,2022-06-07 11:06:10.858404
 6.0,2022-06-07 11:06:11.358444
 8.0,2022-06-07 11:06:11.858394
 10.0,2022-06-07 11:06:12.358525
 6.0,2022-06-07 11:06:12.858532
 8.0,2022-06-07 11:06:13.358831
 8.0,2022-06-07 11:06:13.858523
 8.0,2022-06-07 11:06:14.358839
 8.0,2022-06-07 11:06:14.858386
 6.0,2022-06-07 11:06:15.358378
 8.0,2022-06-07 11:06:15.858494
 8.0,2022-06-07 11:06:16.358587
 16.0,2022-06-07 11:06:16.858518
 20.0,2022-06-07 11:06:17.358511
 18.0,2022-06-07 11:06:17.858212
 14.0,2022-06-07 11:06:18.358528
 16.0,2022-06-07 11:06:18.858161
 16.0,2022-06-07 11:06:19.358441
 22.0,2022-06-07 11:06:19.858598
 24.0,2022-06-07 11:06:20.358436
 24.0,2022-06-07 11:06:20.858510
 24.0,2022-06-07 11:06:21.358404
 24.0,2022-06-07 11:06:21.858807
 20.0,2022-06-07 11:06:22.358103
 22.0,2022-06-07 11:06:22.858593
 18.0,2022-06-07 11:06:23.358529
 20.0,2022-06-07 11:06:23.858598
 26.0,2022-06-07 11:06:24.358584
 24.0,2022-06-07 11:06:24.858569
 22.0,2022-06-07 11:06:25.358513
 22.0,2022-06-07 11:06:25.858458
 24.0,2022-06-07 11:06:26.358470
 22.0,2022-06-07 11:06:26.858502
 24.0,2022-06-07 11:06:27.358518
 24.0,2022-06-07 11:06:27.858525
 20.0,2022-06-07 11:06:28.358095
 20.0,2022-06-07 11:06:28.858558
 24.0,2022-06-07 11:06:29.358428
 24.0,2022-06-07 11:06:29.858484
 22.0,2022-06-07 11:06:30.358552
 26.0,2022-06-07 11:06:30.858553
 18.0,2022-06-07 11:06:31.358523
 20.0,2022-06-07 11:06:31.858740
 20.0,2022-06-07 11:06:32.358529
 18.0,2022-06-07 11:06:32.858878
 22.0,2022-06-07 11:06:33.358722
 22.0,2022-06-07 11:06:33.858515
 22.0,2022-06-07 11:06:34.358644
 22.0,2022-06-07 11:06:34.858564
 24.0,2022-06-07 11:06:35.358563
 24.0,2022-06-07 11:06:35.858434
 24.0,2022-06-07 11:06:36.358548
 22.0,2022-06-07 11:06:36.858535
 24.0,2022-06-07 11:06:37.358497
 24.0,2022-06-07 11:06:37.858218
 18.0,2022-06-07 11:06:38.358071
 22.0,2022-06-07 11:06:38.858558
 24.0,2022-06-07 11:06:39.358466
 22.0,2022-06-07 11:06:39.858398
 26.0,2022-06-07 11:06:40.358818
 24.0,2022-06-07 11:06:40.858529
 22.0,2022-06-07 11:06:41.358862
 22.0,2022-06-07 11:06:41.858811
 24.0,2022-06-07 11:06:42.358491
 22.0,2022-06-07 11:06:42.858365
 22.0,2022-06-07 11:06:43.358526
 16.0,2022-06-07 11:06:43.858772
 26.0,2022-06-07 11:06:44.358467
 24.0,2022-06-07 11:06:44.858369
 24.0,2022-06-07 11:06:45.358492
 26.0,2022-06-07 11:06:45.858687
 24.0,2022-06-07 11:06:46.358801
 24.0,2022-06-07 11:06:46.858529
